date;hour;track_name_clean;artist_name_clean;artists;track_name;danceability;energy;liveness;valence;main_artist_clean
2022-06-04;15;mamma mia;abba;ABBA;Mamma Mia;0.739;0.806;0.442;0.807;abba
2022-06-04;15;the real slim shady;eminem;Eminem;The Real Slim Shady;0.949;0.661;0.0454;0.76;eminem
2022-06-04;15;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-04;15;what a time (feat. niall horan);julia michaels;"Julia Michaels;Niall Horan";What A Time (feat. Niall Horan);0.516;0.467;0.0853;0.386;julia michaels
2022-06-04;15;cloud 9;paravi;Paravi;Cloud 9;0.53;0.268;0.0936;0.338;paravi
2022-06-04;16;the one that got away;katy perry;Katy Perry;The One That Got Away;0.691;0.795;0.156;0.876;katy perry
2022-06-04;16;hot girl bummer;blackbear;blackbear;hot girl bummer;0.782;0.559;0.385;0.685;blackbear
2022-06-04;16;money;lisa;LISA;MONEY;0.826;0.553;0.135;0.4;lisa
2022-06-05;10;the real slim shady;eminem;Eminem;The Real Slim Shady;0.949;0.661;0.0454;0.76;eminem
2022-06-05;10;wildest dreams (taylor's version);taylor swift;Taylor Swift;Wildest Dreams (Taylor's Version);0.581;0.672;0.118;0.514;taylor swift
2022-06-05;10;without me;eminem;Eminem;Without Me;0.908;0.669;0.237;0.662;eminem
2022-06-05;10;what a time (feat. niall horan);julia michaels;"Julia Michaels;Niall Horan";What A Time (feat. Niall Horan);0.516;0.467;0.0853;0.386;julia michaels
2022-06-05;10;someone to stay;vancouver sleep clinic;Vancouver Sleep Clinic;Someone To Stay;0.436;0.473;0.103;0.242;vancouver sleep clinic
2022-06-05;10;without me;eminem;Eminem;Without Me;0.908;0.669;0.237;0.662;eminem
2022-06-05;10;as it was;harry styles;Harry Styles;As It Was;0.52;0.731;0.311;0.662;harry styles
2022-06-05;10;cloud 9;paravi;Paravi;Cloud 9;0.53;0.268;0.0936;0.338;paravi
2022-06-05;10;wildest dreams (taylor's version);taylor swift;Taylor Swift;Wildest Dreams (Taylor's Version);0.581;0.672;0.118;0.514;taylor swift
2022-06-05;10;wildest dreams (taylor's version);taylor swift;Taylor Swift;Wildest Dreams (Taylor's Version);0.581;0.672;0.118;0.514;taylor swift
2022-06-05;10;the real slim shady;eminem;Eminem;The Real Slim Shady;0.949;0.661;0.0454;0.76;eminem
2022-06-05;10;cloud 9;paravi;Paravi;Cloud 9;0.53;0.268;0.0936;0.338;paravi
2022-06-05;10;if i knew;bruno mars;Bruno Mars;If I Knew;0.522;0.413;0.0854;0.49;bruno mars
2022-06-05;10;as it was;harry styles;Harry Styles;As It Was;0.52;0.731;0.311;0.662;harry styles
2022-06-05;10;when i was your man;bruno mars;Bruno Mars;When I Was Your Man;0.615;0.28;0.0877;0.387;bruno mars
2022-06-05;10;i like me better;lauv;Lauv;I Like Me Better;0.752;0.505;0.104;0.419;lauv
2022-06-05;10;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-05;10;i like me better;lauv;Lauv;I Like Me Better;0.752;0.505;0.104;0.419;lauv
2022-06-05;10;i like me better;lauv;Lauv;I Like Me Better;0.752;0.505;0.104;0.419;lauv
2022-06-05;10;water fountain;alec benjamin;Alec Benjamin;Water Fountain;0.723;0.504;0.087;0.551;alec benjamin
2022-06-05;10;talking to the moon;bruno mars;Bruno Mars;Talking to the Moon;0.498;0.59;0.107;0.0784;bruno mars
2022-06-05;10;talking to the moon;bruno mars;Bruno Mars;Talking to the Moon;0.523;0.607;0.106;0.0651;bruno mars
2022-06-05;10;mamma mia;abba;ABBA;Mamma Mia;0.739;0.806;0.442;0.807;abba
2022-06-05;20;;;;;0.501;0.583;0.0747;0.734;
2022-06-05;20;as it was;harry styles;Harry Styles;As It Was;0.52;0.731;0.311;0.662;harry styles
2022-06-05;20;;;;;0.501;0.583;0.0747;0.734;
2022-06-05;20;what a time (feat. niall horan);julia michaels;"Julia Michaels;Niall Horan";What A Time (feat. Niall Horan);0.516;0.467;0.0853;0.386;julia michaels
2022-06-05;20;;;;;0.501;0.583;0.0747;0.734;
2022-06-05;20;;;;;0.501;0.583;0.0747;0.734;
2022-06-05;20;water fountain;alec benjamin;Alec Benjamin;Water Fountain;0.723;0.504;0.087;0.551;alec benjamin
2022-06-05;20;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-05;20;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-05;20;lil jeep;lil peep;Lil Peep;lil jeep;0.744;0.357;0.132;0.114;lil peep
2022-06-05;20;2055;sleepy hallow;Sleepy Hallow;2055;0.829;0.512;0.12;0.638;sleepy hallow
2022-06-05;21;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-05;21;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-05;21;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-05;21;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-05;21;2055;sleepy hallow;Sleepy Hallow;2055;0.829;0.512;0.12;0.638;sleepy hallow
2022-06-05;21;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-05;21;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-06;16;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-06;16;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-06;16;if i knew;bruno mars;Bruno Mars;If I Knew;0.522;0.413;0.0854;0.49;bruno mars
2022-06-06;16;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-06;16;deja vu;olivia rodrigo;Olivia Rodrigo;deja vu;0.442;0.612;0.37;0.178;olivia rodrigo
2022-06-06;16;as it was;harry styles;Harry Styles;As It Was;0.52;0.731;0.311;0.662;harry styles
2022-06-06;16;deja vu;olivia rodrigo;Olivia Rodrigo;deja vu;0.442;0.612;0.37;0.178;olivia rodrigo
2022-06-06;16;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-06;16;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-06;16;the real slim shady;eminem;Eminem;The Real Slim Shady;0.949;0.661;0.0454;0.76;eminem
2022-06-06;16;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
